10.002,14.259,12.089,13.336,14.246,-16.599,-2.4915,-0.3772,-3.8074,-0.51514,1,319
8.8317,12.928,14.183,12.172,14.332,15.112,-0.35318,2.209,-0.62382,0.20998,0,878
31.748,16.142,12.785,14.893,12.863,20.662,2.5613,-4.2792,0.34365,1.7075,1,525
28.724,13.405,11.839,13.56,12.28,-0.34928,0.019932,0.015544,0.033617,0.0046478,0,37084
10.463,12.367,8.2514,14.163,9.9478,4.1034,-0.6861,1.4379,3.6252,-3.1043,1,311
33.262,14.008,11.777,14.037,12.651,0.015397,0.0048629,0.014559,0.0011451,0.0088835,0,1.4634e+05
9.9497,15.412,10.978,12.994,13.478,1.4063,11.549,-5.1502,5.5557,12.01,1,281
11.057,17.194,9.069,14.688,12.185,-1.2244,-1.2174,0.68777,-0.63189,-1.2495,0,1869
15.329,18.613,8.5571,14.919,11.875,9.9909,10.441,-3.4353,8.9749,6.9521,1,247
19.367,17.942,11.94,16.336,13.439,0.1737,0.011926,-0.051325,-0.052682,0.0087952,0,24171
6.0297,8.3698,7.1542,9.1858,6.9198,-27.971,-9.196,5,-4.113,-8.0824,1,299
39.66,13.316,10.886,12.872,11.833,0.55336,0.08341,0.018823,0.062691,0.062442,0,34905
8.1223,18.203,12.598,14.134,12.201,-24.487,-0.71037,1.7373,-0.48749,0.73597,1,247
16.573,15.782,16.112,15.3,13.407,-31.896,-0.93179,-2.7554,-2.7094,-0.57205,0,625
23.835,20.241,9.2334,18.905,10.703,-18.362,-10.541,2.2494,-3.6125,-11.591,1,261
